CAS,compound,SMILES,membrane_exp,storage_exp,albumin_exp,muscle_chicken_exp,muscle_fish_exp
120-82-1,"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,4.2,4.17,3.6,,
111-43-3,Di-n-propyl ether,CCCOCCC,,2.06,,,
693-65-2,Dipentyl ether,CCCCCOCCCCC,3.77,4.16,3,,
111-13-7,2-octanone,CCCCCCC(C)=O,2.42,2.31,2.09,1.57,1.35
821-55-6,2-nonanone,CCCCCCCC(C)=O,2.83,2.79,2.48,1.83,1.51
627-05-4,1-Nitrobutane,CCCC[N+](=O)[O-],,1.53,,,
646-14-0,1-Nitrohexane,CCCCCC[N+](=O)[O-],,2.58,,1.34,
536-75-4,4-Ethylpyridine,CCc1ccncc1,,1.14,,,
100-00-5,1-Chloro-4-nitrobenzene,O=[N+]([O-])c1ccc(Cl)cc1,,2.38,,,
98-95-3,Nitrobenzene,O=[N+]([O-])c1ccccc1,2.01,1.92,,,
88-72-2,2-Nitrotoluene,Cc1ccccc1[N+](=O)[O-],2.41,2.4,2.12,1.27,1.32
606-20-2,"2,6-Dinitrotoluene",Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],,1.94,,,
100-17-4,4-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,,2.32,2.48,1.38,
150-78-7,"1,4-Dimethoxybenzene",COc1ccc(OC)cc1,,2.12,,,
106-48-9,4-Chlorophenol,Oc1ccc(Cl)cc1,2.73,1.51,2.43,1.55,1.45
93-89-0,Ethyl benzoate,CCOC(=O)c1ccccc1,,2.59,,,1.27
104-76-7,2-Ethyl-1-hexanol,CCCCC(CC)CO,,2.04,,,
597-76-2,3-Ethyl-3-hexanol,CCCC(O)(CC)CC,,1.7,,,
19780-44-0,4-Ethyl-3-hexanol,CCC(O)C(CC)CC,,1.92,1.48,,0.75
597-49-9,3-Ethyl-3-pentanol,CCC(O)(CC)CC,,1.13,,,
121-14-2,"2,4-Dinitrotoluene",Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],,2.34,1.73,1.22,1.27
